station_id,station_name,latitude,longitude,capacity_kg,current_uco_kg,daily_inflow_kg,fill_rate_pct,remaining_capacity_kg,days_to_full,priority_score,priority_status,collection_required
1,Kuala Lumpur City Centre UCO Hub,3.161662,101.704496,344,206.0,26.5,59.9,138.0,5.2,52.4,MEDIUM,False
2,Bangsar UCO Hub,3.127835,101.678633,687,662.5,24.0,96.4,24.5,1.0,93.7,CRITICAL,True
3,Cheras UCO Hub,3.107564,101.729909,720,397.8,28.2,55.2,322.2,11.4,38.7,LOW,False
4,Setapak UCO Hub,3.189475,101.706164,525,316.0,10.7,60.2,209.0,19.5,42.1,LOW,False
5,Kepong UCO Hub,3.211276,101.63989,730,533.0,24.0,73.0,197.0,8.2,51.1,MEDIUM,False
6,Petaling Jaya UCO Hub,3.105891,101.608829,714,648.5,24.5,90.8,65.5,2.7,83.6,CRITICAL,True
7,Subang Jaya UCO Hub,3.065267,101.583474,549,222.4,22.1,40.5,326.6,14.8,28.4,LOW,False
8,Shah Alam UCO Hub,3.076264,101.522816,321,167.5,14.3,52.2,153.5,10.7,36.5,LOW,False
9,Klang UCO Hub,3.047502,101.448573,531,331.3,10.7,62.4,199.7,18.7,43.7,LOW,False
10,Puchong UCO Hub,3.034873,101.616138,365,316.5,22.5,86.7,48.5,2.2,82.6,HIGH,True
11,Seri Kembangan UCO Hub,3.031286,101.707394,518,292.1,12.2,56.4,225.9,18.5,39.5,LOW,False
12,Ampang UCO Hub,3.151456,101.762525,703,306.6,5.2,43.6,396.4,76.2,30.5,LOW,False
13,Gombak UCO Hub,3.249444,101.701899,536,445.8,16.5,83.2,90.2,5.5,67.7,HIGH,True
14,Damansara UCO Hub,3.146873,101.608269,653,246.8,21.7,37.8,406.2,18.7,26.5,LOW,False
15,Mont Kiara UCO Hub,3.172845,101.655173,339,248.2,18.8,73.2,90.8,4.8,63.1,MEDIUM,False
16,Bukit Jalil UCO Hub,3.061432,101.690235,683,219.2,15.9,32.1,463.8,29.2,22.5,LOW,False
17,Sunway UCO Hub,3.075289,101.60777,797,366.1,6.5,45.9,430.9,66.3,32.2,LOW,False
18,Kota Damansara UCO Hub,3.152334,101.582002,727,545.8,18.9,75.1,181.2,9.6,52.6,MEDIUM,False
19,Cyberjaya UCO Hub,2.919848,101.654373,505,431.4,9.2,85.4,73.6,8.0,59.8,HIGH,True
20,Putrajaya UCO Hub,2.924522,101.69645,503,398.3,16.5,79.2,104.7,6.3,61.6,MEDIUM,False
